,sentence,index,length,time,rating
0,酸辣湯是酸甜口感,1,8,1年前,3
1,牛肉湯麵的湯有點太鹹了,1,11,1年前,3
2,整體吃起來感覺普普,1,9,1年前,3
3,喜歡吃帶筋的牛肉的話會是一個好選擇,2,17,2年前,4
4,牛肉湯滿清的但口味比較偏鹹一些,2,15,2年前,4
5,130元的牛肉麵,3,8,1年前,2
6,只能說CP值太差,3,8,1年前,2
7,原本期待中位於中研院週圍老住宅區巷弄的麵館應該具有傳統外省老麵館的懷念美味,4,37,1年前,3
8,經營母子倆服務熱誠與親切甚佳我才總體給3星,4,21,1年前,3
9,而單就食物性價而言1-2星,4,13,1年前,3
10,牛肉麵130元麵條是麵廠中筋麵粉機器製麵,4,20,1年前,3
11,牛肉湯頭並非傳統牛骨熬煮骨髓及油香,4,17,1年前,3
12,帶筋塊狀牛肉乏善可陳,4,10,1年前,3
13,不見青菜,4,4,1年前,3
14,酸菜辣油也無自製特別,4,10,1年前,3
15,滷味豆干滷蛋時間不長很淺味,4,13,1年前,3
16,燴飯不錯,5,4,2年前,5
17,燴汁下飯,5,4,2年前,5
18,份量也滿大的,5,6,2年前,5
19,酸辣湯也是料好實在,5,9,2年前,5
20,每一口都是滿滿的料,5,9,2年前,5
21,環境乾淨,5,4,2年前,5
22,老闆娘也親切熱情,5,8,2年前,5
23,是間可以舒服吃飯的巷弄小店,5,13,2年前,5
24,下次還會再來,5,6,2年前,5
25,份量偏少,6,4,4個月前,3
26,清淡口味,6,4,4個月前,3
27,還不錯,6,3,4個月前,3
28,個人覺得口味普通,7,8,3年前,3
29,且CP值不夠,7,6,3年前,3
30,這絕對是我這輩子吃過最難吃的牛肉麵,8,17,2年前,1
31,難吃到我願意刻意登入來負評,8,13,2年前,1
32,你們的雖然偏清燉,8,8,2年前,1
33,但也太不用心了吧,8,8,2年前,1
34,既然都叫松園*牛肉麵*,8,11,2年前,1
35,好好燉個牛肉湯很難嗎,8,10,2年前,1
36,整碗湯滿滿的味精味,8,9,2年前,1
37,不會適度搭配點甘草,8,9,2年前,1
38,荳蔻,8,2,2年前,1
39,花椒,8,2,2年前,1
40,桂枝,8,2,2年前,1
41,當歸尾之類的東西提香,8,10,2年前,1
42,這間店的老闆,8,6,2年前,1
43,要嘛舌頭真的有問題,8,9,2年前,1
44,不然就是黔驢技窮,8,8,2年前,1
45,排骨麵,9,3,2年前,5
46,排骨好吃很特別,9,7,2年前,5
47,朋友吃酸辣湯餃,9,7,2年前,5
48,也很棒,9,3,2年前,5
49,喜歡酸酸的,9,5,2年前,5
50,下次來也要吃酸辣湯餃,9,10,2年前,5
51,中午下大雨,9,5,2年前,5
52,沒有傘,9,3,2年前,5
53,老闆還借我們傘,9,7,2年前,5
54,很親切的店家,9,6,2年前,5
55,喜歡牛肉細粉以及牛肉燴飯,10,12,6年前,5
56,覺得味道挺不錯的,10,8,6年前,5
57,是會讓人想再去的好吃餐廳,10,12,6年前,5
58,有些人覺得分量太小,10,9,6年前,5
59,可以跟老闆要求加飯或加麵,10,12,6年前,5
60,外帶湯麵不給碗是,11,8,1年前,1
61,要別人怎麼吃,11,6,1年前,1
62,一碗麵一百多,11,6,1年前,1
63,這點成本也要省,11,7,1年前,1
64,排骨麵跟炸醬麵都還不錯,12,11,4年前,3
65,水餃也不錯,12,5,4年前,3
66,湯麵湯底稍淡偏油,12,8,4年前,3
67,小菜普通,12,4,4年前,3
68,其他餐點沒嚐過,12,7,4年前,3
69,暫不予置評,12,5,4年前,3
70,家常,13,2,1年前,5
71,方便,13,2,1年前,5
72,水餃和排骨麵超級好吃,13,10,1年前,5
73,懷念以前禮拜六和家人一起吃的日子,13,16,1年前,5
74,麵條Q彈好吃,14,6,1年前,5
75,湯餃好吃,14,4,1年前,5
76,小菜也好吃,14,5,1年前,5
77,生意很好,14,4,1年前,5
78,值得再訪的店,14,6,1年前,5
79,以前的巷弄美食之一,15,9,2年前,4
80,尤其喜歡炸排骨,15,7,2年前,4
81,只是現在南港選擇性多,15,10,2年前,4
82,松園相對的比較沒有特色,15,11,2年前,4
83,肉少湯酸麵糊,16,6,3年前,2
84,價位跟餐食水準對不上,16,10,3年前,2
85,令人遺憾的一餐,16,7,3年前,2
86,東西好吃便宜,17,6,3年前,4
87,1992開店到現在,17,9,3年前,4
88,是中研院員工的吃飯好選項,17,12,3年前,4
89,最喜歡榨菜肉絲麵好吃湯頭優,17,13,3年前,4
90,價格漲到太誇張,18,7,2年前,2
91,麵也不是太好的麵,18,8,2年前,2
92,口味也還好,18,5,2年前,2
93,幾乎沒青菜,18,5,2年前,2
94,現在幾乎都不去了,18,8,2年前,2
95,從小吃到大的牛肉麵,19,9,3年前,4
96,味道蠻喜歡的,19,6,3年前,4
97,份量算少大食量的人可能吃不飽,19,14,3年前,4
98,算不錯,20,3,1年前,3
99,但是不知是辣椒醬太鹹,20,10,1年前,3
100,還是湯頭太鹹,20,6,1年前,3
