sentence,case-neg,case-all,case-conj,source,word_seg,pos,dependency_parse
不喜歡這家的榨菜肉絲麵,1,0,0,generate,"['不', '喜歡', '這', '家', '的', '榨菜', '肉絲麵']","[(0, 'root root'), (1, '不 D'), (2, '喜歡 VK'), (3, '這 Nep'), (4, '家 Nc'), (5, '的 DE'), (6, '榨菜 Na'), (7, '肉絲麵 Na')]","[('2 - 喜歡 VK', '1 - 不 D', 'neg'), ('0 - root root', '2 - 喜歡 VK', 'root'), ('7 - 肉絲麵 Na', '3 - 這 Nep', 'assmod'), ('3 - 這 Nep', '4 - 家 Nc', 'clf'), ('3 - 這 Nep', '5 - 的 DE', 'assm'), ('7 - 肉絲麵 Na', '6 - 榨菜 Na', 'nn'), ('2 - 喜歡 VK', '7 - 肉絲麵 Na', 'dobj')]"
不喜歡水餃,1,0,0,generate,"['不', '喜歡', '水餃']","[(0, 'root root'), (1, '不 D'), (2, '喜歡 VK'), (3, '水餃 Na')]","[('2 - 喜歡 VK', '1 - 不 D', 'neg'), ('0 - root root', '2 - 喜歡 VK', 'root'), ('2 - 喜歡 VK', '3 - 水餃 Na', 'dobj')]"
水餃不好吃,1,0,0,generate,"['水餃', '不', '好吃']","[(0, 'root root'), (1, '水餃 Na'), (2, '不 D'), (3, '好吃 VH')]","[('3 - 好吃 VH', '1 - 水餃 Na', 'nsubj'), ('3 - 好吃 VH', '2 - 不 D', 'neg'), ('0 - root root', '3 - 好吃 VH', 'advmod')]"
這裡的小菜不怎麼樣,1,0,0,generate,"['這裡', '的', '小菜', '不', '怎麼樣']","[(0, 'root root'), (1, '這裡 Ncd'), (2, '的 DE'), (3, '小菜 Na'), (4, '不 D'), (5, '怎麼樣 VH')]","[('3 - 小菜 Na', '1 - 這裡 Ncd', 'assmod'), ('1 - 這裡 Ncd', '2 - 的 DE', 'assm'), ('5 - 怎麼樣 VH', '3 - 小菜 Na', 'amod'), ('5 - 怎麼樣 VH', '4 - 不 D', 'neg'), ('0 - root root', '5 - 怎麼樣 VH', 'root')]"
水餃很不好吃,1,0,0,generate,"['水餃', '很', '不', '好吃']","[(0, 'root root'), (1, '水餃 Na'), (2, '很 Dfa'), (3, '不 D'), (4, '好吃 VH')]","[('4 - 好吃 VH', '1 - 水餃 Na', 'nsubj'), ('4 - 好吃 VH', '2 - 很 Dfa', 'advmod'), ('4 - 好吃 VH', '3 - 不 D', 'neg'), ('0 - root root', '4 - 好吃 VH', 'root')]"
麻辣水煮魚很不好吃,1,0,0,generate,"['麻辣', '水', '煮', '魚', '很', '不', '好吃']","[(0, 'root root'), (1, '麻辣 A'), (2, '水 Na'), (3, '煮 VC'), (4, '魚 Na'), (5, '很 Dfa'), (6, '不 D'), (7, '好吃 VH')]","[('4 - 魚 Na', '1 - 麻辣 A', 'amod'), ('4 - 魚 Na', '2 - 水 Na', 'nsubj'), ('4 - 魚 Na', '3 - 煮 VC', 'dep'), ('7 - 好吃 VH', '4 - 魚 Na', 'dobj'), ('7 - 好吃 VH', '5 - 很 Dfa', 'advmod'), ('7 - 好吃 VH', '6 - 不 D', 'neg'), ('0 - root root', '7 - 好吃 VH', 'root')]"
雞肉和大滷麵都難吃,0,1,1,generate,"['雞肉', '和', '大滷麵', '都', '難吃']","[(0, 'root root'), (1, '雞肉 Na'), (2, '和 Caa'), (3, '大滷麵 Na'), (4, '都 D'), (5, '難吃 VH')]","[('3 - 大滷麵 Na', '1 - 雞肉 Na', 'conj'), ('3 - 大滷麵 Na', '2 - 和 Caa', 'cc'), ('5 - 難吃 VH', '3 - 大滷麵 Na', 'amod'), ('5 - 難吃 VH', '4 - 都 D', 'advmod'), ('0 - root root', '5 - 難吃 VH', 'advmod')]"
雞肉和大滷麵都不喜歡,1,1,1,generate,"['雞肉', '和', '大滷麵', '都', '不', '喜歡']","[(0, 'root root'), (1, '雞肉 Na'), (2, '和 Caa'), (3, '大滷麵 Na'), (4, '都 D'), (5, '不 D'), (6, '喜歡 VK')]","[('3 - 大滷麵 Na', '1 - 雞肉 Na', 'conj'), ('3 - 大滷麵 Na', '2 - 和 Caa', 'cc'), ('6 - 喜歡 VK', '3 - 大滷麵 Na', 'amod'), ('6 - 喜歡 VK', '4 - 都 D', 'advmod'), ('6 - 喜歡 VK', '5 - 不 D', 'neg'), ('0 - root root', '6 - 喜歡 VK', 'root')]"
水餃和排骨麵超級好吃,0,0,1,generate,"['水餃', '和', '排骨麵', '超級', '好吃']","[(0, 'root root'), (1, '水餃 Na'), (2, '和 Caa'), (3, '排骨麵 Na'), (4, '超級 Dfa'), (5, '好吃 VH')]","[('3 - 排骨麵 Na', '1 - 水餃 Na', 'conj'), ('3 - 排骨麵 Na', '2 - 和 Caa', 'cc'), ('5 - 好吃 VH', '3 - 排骨麵 Na', 'nsubj'), ('5 - 好吃 VH', '4 - 超級 Dfa', 'advmod'), ('0 - root root', '5 - 好吃 VH', 'root')]"
水餃和牛肉麵都很好吃,0,1,1,generate,"['水餃', '和', '牛肉麵', '都', '很', '好吃']","[(0, 'root root'), (1, '水餃 Na'), (2, '和 Caa'), (3, '牛肉麵 Na'), (4, '都 D'), (5, '很 Dfa'), (6, '好吃 VH')]","[('3 - 牛肉麵 Na', '1 - 水餃 Na', 'conj'), ('3 - 牛肉麵 Na', '2 - 和 Caa', 'cc'), ('6 - 好吃 VH', '3 - 牛肉麵 Na', 'nsubj'), ('6 - 好吃 VH', '4 - 都 D', 'advmod'), ('6 - 好吃 VH', '5 - 很 Dfa', 'advmod'), ('0 - root root', '6 - 好吃 VH', 'root')]"
