author,reviewRating,reviewBody,dateCreated,reviewUrl,orginalText,name,place_id,aggregateRating
Freda Yang,5.0,Super delicious,a week ago,https://www.google.com/maps/contrib/108715056851290317726/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegQIARB1,超級好吃😋的,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
邱國璋,5.0,"The big dumplings are super large, and the marinated vegetables are the essence!",a week ago,https://www.google.com/maps/contrib/104931509892254124515/reviews?hl=en-US&sa=X&ved=2ahUKEwjrzuXqp7v5AhV_KEQIHVEWCJ0QvfQBegQIARAZ,大顆水餃超大顆，滷菜是精華！,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
吳惠玲,4.0,"There is a marked price for lo mei, but there is no unit price for other items on the menu. The lo mei and chili are delicious together, the dumplings are big and the egg skin is too thick, and the sesame sauce noodles are also delicious 😋",a week ago,https://www.google.com/maps/contrib/101189893560064454021/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegQIARBK,滷味有標價位，可是菜單其它食物沒有單價，滷味和辣椒搭配很好吃，水餃很大顆蛋皮太厚了，麻醬麵也好吃😋,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Andy LinSun,3.0,"Lasagna tastes like rubber bands Fireworks Girl's Seafood Noodles are very spicy, be careful if you don't eat spicy food The appetizers, fried seafood and hash browns are super delicious Baked beef cheeks are also delicious You can try dessert if you haven't eaten it, but you can try it once",2 weeks ago,https://www.google.com/maps/contrib/107057121233526925371/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegUIARDxAQ,肉醬寬麵吃起來很像橡皮筋 煙花女海鮮麵很辣，不吃辣要當心 前菜炸海鮮跟馬鈴薯餅都超好吃 焗烤牛頰也超好吃 甜點沒吃過可以試試，但就嚐鮮吃一次即可,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
雪煾,5.0,"Don’t be spicy, the result is boosted, it’s almost spicy to death..",a week ago,https://www.google.com/maps/contrib/105000227921881012050/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegUIARCSAQ,不要辣結果被加爆 差點辣死..,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Manzih Hong,3.0,"The dumplings are delicious, big and delicious, the pork filling with leeks is perfect! A piece of 8.5 yuan is very consistent with the CP value. Soups are worth ordering. There are a lot of ingredients. The oyster soup is delicious, but the hot and sour soup is not sour or spicy although it has a lot of ingredients. In terms of luwei, the most recommended is the braised cabbage head and the attached sauerkraut. I ordered the smoked Matsuzaka pork that everyone recommends, but the meat is very dry and the taste is quite salty. Other tofu skin, bitter gourd, and pig scalp are quite ordinary. I didn't give five stars because the environment is really dirty. I hope the boss can take a few days off to clean up the environment. Some places are covered with old dirt and dust, which is frightening. Due to environmental concerns, the frequency of meals will be minimized.",a week ago,https://www.google.com/maps/contrib/101105734907946771011/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegQIARAr,水餃很好吃，大顆又美味，豬肉餡加上韭菜，完美！一顆8.5元很CP值相符。 湯類很值得點，料很多，蚵仔湯很好吃，但是酸辣湯雖然料多可不酸也不辣 滷味的話最推滷菜頭和附上的酸菜，點了大家都推薦的煙燻松阪肉，但是吃起來肉質很乾柴，口味也頗鹹，其他豆皮、苦瓜、豬頭皮都頗普通。 沒給到五顆星是因為環境真的太髒了，希望老闆可以找個幾天休假好好整理環境，有些地方佈滿了陳年的污垢和灰塵，令人怵目驚心。因為環境問題會儘量減少用餐頻率。,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
AK 777,3.0,The lo-mei shop that was delayed by dumplings? Makes me seem to buy too much 😅😅,3 days ago,https://www.google.com/maps/contrib/109680564256485488215/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegUIARDwAQ,被水餃耽誤的滷味店？ 害我好像買多了😅😅,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Tina Yang,4.0,"Large portion of dumplings, cooked dumplings $8.5/piece, raw dumplings $8/piece, the lo mein is also very good",3 days ago,https://www.google.com/maps/contrib/117456145920176249674/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegUIARCKAg,份量很大的水餃，熟水餃 $8.5/顆、生水餃 $8/顆，滷味也很讚,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Kim YH Wang,2.0,"Why can't we use the online reservation system? I have to use the phone, but I don't answer the phone. I went directly to the store to make an appointment. The service staff said that they would not pick me up because I was too busy? Then use the online reservation system? ? ? If the private room is not open to the public, you have to go to the door of the store to see the note on the door. Can you use the online system? Or fan page announcements? Did you know that you can also update today's business conditions on Google maps? Do you want to increase the brand atmosphere of an old store and exclusive brand by continuing to use traditional practices? ? ?",2 weeks ago,https://www.google.com/maps/contrib/104851289545033340208/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegUIARDaAQ,到底為什麼不能用線上訂位系統呢？一定要用電話，但是電話都不接啊 直接去店面預約，服務人員說因為太忙所以不接？那就用線上預約系統啊？？？ 包場不對外開放也要走到店門口才看見門上的紙條，請問可不可以用線上系統呢？或是粉絲專頁公告？你們知道Google maps上也可以更新當日營業狀況嗎？ 持續使用傳統做法是想增加老店、exclusive的品牌氛圍嗎？？？,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
H YY,3.0,"One of the famous shops in Nangang Is it delicious? Different opinions can't be bad But I think it's fine The dumplings are really big, this one really focuses on CP value The speed of calling numbers is also quite smooth",a day ago,https://www.google.com/maps/contrib/115834308374840363751/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegQIARBu,南港名店之一 好吃嘛？見仁見智 說不上不好 但個人覺得還好 水餃是真的很大顆，這家確實主打CP值 用叫號的 速度也相當順暢,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
