"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","orginalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"光光","2022/05二訪 這次點了兩種清湯，花雕雞跟菇菇排骨湯。花雕雞非常的沒有花雕味，喝起來跟一般的雞清湯差不多喔覺得有點失望 排骨湯的排骨都是豬軟骨，不需要挑硬骨覺得很讚，但湯底味道就比較淡薄一點。 湯也很快就冷掉了，最後吃的有點辛苦。 主食點了小朋友義大利麵，餐上來是冷的不知道是不是正常🤔 清湯還是配白飯可能比較適合，美好的印象還留在濃湯配麵包，下次來可能還是會選擇濃湯系列。 大沙拉盤真的大🤣🤣🤣料好實在又豐富，煙燻鮭魚的厚度很讚！每次來一定點！ 之前在百貨公司美食街吃過，覺得普普通通，但這次到店面吃，餐飲體驗好很多 湯裡面的料也超級豐盛，燉牛肉也超級軟嫩，沾著麵包吃真的很爽，雖然桌子有點小不過東西真的好吃會再來～","5.0","5.0","","2 months ago","https://lh5.googleusercontent.com/p/AF1QipNkGFOdixeYW47EEiA3bP_a-dVgl8DIThQVp8eD | https://lh5.googleusercontent.com/p/AF1QipPkdksbosxOKvhXliW6fe9tcgXTZfQdEQtoQuGM | https://lh5.googleusercontent.com/p/AF1QipOl95Akbet9d9d4KPHmDiQBJRhzmR0uyKAy7gzM | https://lh5.googleusercontent.com/p/AF1QipMJLQ-MZeA-FVLyTXLs3XyqKFp_vftin94n-J0V | https://lh5.googleusercontent.com/p/AF1QipOkSKnaRLEJbkWWOPeV9yLe-JGQz9WjnkixsKms","https://www.google.com/maps/contrib/116687461176653331342/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegQIARAC","www.google.com","","Soup Stock Store","1,466","4.4","No. 3號, Lane 240, Guangfu S Rd, Da’an District, Taipei City, Taiwan","ChIJw__PrcerQjQRR68o5dQYYbg","ChIJw__PrcerQjQRR68o5dQYYbg","https://www.google.com/maps/place/?q=place_id:ChIJw__PrcerQjQRR68o5dQYYbg"
"Freda Yang","Super delicious","5.0","5.0","","a week ago","https://lh5.googleusercontent.com/p/AF1QipNffNxKzFs7Qj1s1nGBXcmUknpLpJi45pomvM9X","https://www.google.com/maps/contrib/108715056851290317726/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegQIARB1","www.google.com","超級好吃😋的","勝利洋食","874","4.8","Taiwan, Taipei City, Da’an District, Lane 161, Section 1, Dunhua S Rd, 8號","ChIJFUD2uM2rQjQRnjn-N2UsCbA","ChIJFUD2uM2rQjQRnjn-N2UsCbA","https://www.google.com/maps/place/?q=place_id:ChIJFUD2uM2rQjQRnjn-N2UsCbA"
"Natalie Yu","","5.0","5.0","","2 days ago","","https://www.google.com/maps/contrib/109091784878191850528/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegUIARCsAQ","www.google.com","","Solo Pasta","11,161","4.6","No. 29-1, Section 1, Anhe Rd, Da’an District, Taipei City, Taiwan","ChIJwQPcmc-rQjQRtXDQA__PPwg","ChIJwQPcmc-rQjQRtXDQA__PPwg","https://www.google.com/maps/place/?q=place_id:ChIJwQPcmc-rQjQRtXDQA__PPwg"
"邱國璋","The big dumplings are super large, and the marinated vegetables are the essence!","5.0","5.0","","a week ago","","https://www.google.com/maps/contrib/104931509892254124515/reviews?hl=en-US&sa=X&ved=2ahUKEwjrzuXqp7v5AhV_KEQIHVEWCJ0QvfQBegQIARAZ","www.google.com","大顆水餃超大顆，滷菜是精華！","Nangang Beidahuang Dumpling Shop","7,351","3.8","No. 201, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan","ChIJv4dK1lirQjQRTurkPAZOiqA","ChIJv4dK1lirQjQRTurkPAZOiqA","https://www.google.com/maps/place/?q=place_id:ChIJv4dK1lirQjQRTurkPAZOiqA"
"Beatrice","","5.0","5.0","","a week ago","","https://www.google.com/maps/contrib/116200733693502667485/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegQIARB9","www.google.com","","Nangang Beidahuang Dumpling Shop","7,351","3.8","No. 201, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan","ChIJv4dK1lirQjQRTurkPAZOiqA","ChIJv4dK1lirQjQRTurkPAZOiqA","https://www.google.com/maps/place/?q=place_id:ChIJv4dK1lirQjQRTurkPAZOiqA"
"吳惠玲","There is a marked price for lo mei, but there is no unit price for other items on the menu. The lo mei and chili are delicious together, the dumplings are big and the egg skin is too thick, and the sesame sauce noodles are also delicious 😋","4.0","5.0","","a week ago","https://lh5.googleusercontent.com/p/AF1QipOhFGuwo5ZcfO6Vf-I05FtgrS3Mj_kGAEghv1Z_ | https://lh5.googleusercontent.com/p/AF1QipOmLghyHCiuBZFeLpiT4AuKjS23tEx0FvNEbEXt | https://lh5.googleusercontent.com/p/AF1QipPK2jFi8tBSoLLhFQdtzJycaSDzYHRqGlLfzo-B | https://lh5.googleusercontent.com/p/AF1QipN9kroqz9sbOwq_-L6gKK0NWM5SH_OpFdXhHscM","https://www.google.com/maps/contrib/101189893560064454021/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegQIARBK","www.google.com","滷味有標價位，可是菜單其它食物沒有單價，滷味和辣椒搭配很好吃，水餃很大顆蛋皮太厚了，麻醬麵也好吃😋","Nangang Beidahuang Dumpling Shop","7,351","3.8","No. 201, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan","ChIJv4dK1lirQjQRTurkPAZOiqA","ChIJv4dK1lirQjQRTurkPAZOiqA","https://www.google.com/maps/place/?q=place_id:ChIJv4dK1lirQjQRTurkPAZOiqA"
"Andy LinSun","Lasagna tastes like rubber bands Fireworks Girl's Seafood Noodles are very spicy, be careful if you don't eat spicy food The appetizers, fried seafood and hash browns are super delicious Baked beef cheeks are also delicious You can try dessert if you haven't eaten it, but you can try it once","3.0","5.0","","2 weeks ago","https://lh5.googleusercontent.com/p/AF1QipPJMQH_0KQbgoF8hu47kwFzXYqVyYjRg-ahP5gz | https://lh5.googleusercontent.com/p/AF1QipNWVk8RzNL9Fx81jOxX2Oeee1HJ45Tkb3cnT0md | https://lh5.googleusercontent.com/p/AF1QipO_k44flvqaywCSOA-5YFFrEoEAbMcn73lozyIP | https://lh5.googleusercontent.com/p/AF1QipP_Vuq5z3oecWHbLBkqk4av7vhDMVLR132KgS9e | https://lh5.googleusercontent.com/p/AF1QipOU4WGGT8JKSnnB9ISlgm3R5MkBI0kaUXEDw3sd | https://lh5.googleusercontent.com/p/AF1QipPB50E8s65bZBpoV9O2E-FVQUv0SFrkG26LFlKa","https://www.google.com/maps/contrib/107057121233526925371/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegUIARDxAQ","www.google.com","肉醬寬麵吃起來很像橡皮筋 煙花女海鮮麵很辣，不吃辣要當心 前菜炸海鮮跟馬鈴薯餅都超好吃 焗烤牛頰也超好吃 甜點沒吃過可以試試，但就嚐鮮吃一次即可","Solo Pasta","11,161","4.6","No. 29-1, Section 1, Anhe Rd, Da’an District, Taipei City, Taiwan","ChIJwQPcmc-rQjQRtXDQA__PPwg","ChIJwQPcmc-rQjQRtXDQA__PPwg","https://www.google.com/maps/place/?q=place_id:ChIJwQPcmc-rQjQRtXDQA__PPwg"
"張晏慈","","5.0","5.0","","a week ago","https://lh5.googleusercontent.com/p/AF1QipMawre1YQ6YFB1GEK3gH03zX8afaHu6oNhjnpIV","https://www.google.com/maps/contrib/103931453477068012173/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtfbpp7v5AhUcLEQIHRuaBHsQvfQBegUIARCuAQ","www.google.com","","Soup Stock Store","1,466","4.4","No. 3號, Lane 240, Guangfu S Rd, Da’an District, Taipei City, Taiwan","ChIJw__PrcerQjQRR68o5dQYYbg","ChIJw__PrcerQjQRR68o5dQYYbg","https://www.google.com/maps/place/?q=place_id:ChIJw__PrcerQjQRR68o5dQYYbg"
"Veronica Chiu","","5.0","5.0","","2 weeks ago","https://lh5.googleusercontent.com/p/AF1QipO7FASTxU-aFKZot_N9qLA3cyVs4ITIAdKyJdaZ | https://lh5.googleusercontent.com/p/AF1QipPpfnuA9MJzZKUlZ3WrjR9chjwuNTW8FJ5YHhsO | https://lh5.googleusercontent.com/p/AF1QipNF-ogD4QxxTBshZflPyIcFTWOsLwLLDuhHW2Xk | https://lh5.googleusercontent.com/p/AF1QipMkiJZueS0BxX_61kVUUN1QMhKwS9bWyy3WOmxw","https://www.google.com/maps/contrib/101604618895048035542/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegUIARCDAQ","www.google.com","","Solo Pasta","11,161","4.6","No. 29-1, Section 1, Anhe Rd, Da’an District, Taipei City, Taiwan","ChIJwQPcmc-rQjQRtXDQA__PPwg","ChIJwQPcmc-rQjQRtXDQA__PPwg","https://www.google.com/maps/place/?q=place_id:ChIJwQPcmc-rQjQRtXDQA__PPwg"
"雪煾","Don’t be spicy, the result is boosted, it’s almost spicy to death..","5.0","5.0","","a week ago","","https://www.google.com/maps/contrib/105000227921881012050/reviews?hl=en-US&sa=X&ved=2ahUKEwiO_a_rp7v5AhULEEQIHdsLA1gQvfQBegUIARCSAQ","www.google.com","不要辣結果被加爆 差點辣死..","Nangang Beidahuang Dumpling Shop","7,351","3.8","No. 201, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan","ChIJv4dK1lirQjQRTurkPAZOiqA","ChIJv4dK1lirQjQRTurkPAZOiqA","https://www.google.com/maps/place/?q=place_id:ChIJv4dK1lirQjQRTurkPAZOiqA"
