,food_list,source
0,中餐,eHowNet-food
1,午時茶,eHowNet-food
2,外賣,eHowNet-food
3,套餐,eHowNet-food
4,年貨,eHowNet-food
5,廩膳,eHowNet-food
6,殘席,eHowNet-food
7,營養品,eHowNet-food
8,牲品,eHowNet-food
9,白食,eHowNet-food
10,耶誕餐,eHowNet-food
11,葡萄糖,eHowNet-food
12,藥膳,eHowNet-food
13,蜂皇漿,eHowNet-food
14,蜂膠,eHowNet-food
15,血糖,eHowNet-food
16,補品,eHowNet-food
17,西餐,eHowNet-food
18,豬血,eHowNet-food
19,醍醐,eHowNet-food
20,食材,eHowNet-food
21,伙食,eHowNet-food
22,吃食,eHowNet-food
23,客飯,eHowNet-food
24,料理,eHowNet-food
25,水米,eHowNet-food
26,燕食,eHowNet-food
27,盤中飧,eHowNet-food
28,簞食壺漿,eHowNet-food
29,糧食,eHowNet-food
30,肴饌,eHowNet-food
31,膳羞,eHowNet-food
32,膳食,eHowNet-food
33,茶食,eHowNet-food
34,茶飯,eHowNet-food
35,酒食,eHowNet-food
36,酒飯,eHowNet-food
37,食,eHowNet-food
38,食物,eHowNet-food
39,飯菜,eHowNet-food
40,飲食,eHowNet-food
41,餐食,eHowNet-food
42,餐點,eHowNet-food
43,饌,eHowNet-food
44,冷飲,eHowNet-food
45,氣泡水,eHowNet-food
46,熱飲,eHowNet-food
47,礦泉水,eHowNet-food
48,米漿,eHowNet-food
49,養樂多,eHowNet-food
50,汁,eHowNet-food
51,茶酒,eHowNet-food
52,飲品,eHowNet-food
53,飲料,eHowNet-food
54,飲料水,eHowNet-food
55,乳製品,eHowNet-food
56,便當,eHowNet-food
57,南北貨,eHowNet-food
58,嗟來食,eHowNet-food
59,囤糧,eHowNet-food
60,炮食,eHowNet-food
61,熟食,eHowNet-food
62,熱食,eHowNet-food
63,眷糧,eHowNet-food
64,積糧,eHowNet-food
65,納豆,eHowNet-food
66,給糧,eHowNet-food
67,罐頭,eHowNet-food
68,罐頭食品,eHowNet-food
69,脯醢,eHowNet-food
70,蒸食,eHowNet-food
71,蛋品,eHowNet-food
72,賑糧,eHowNet-food
73,鄉味,eHowNet-food
74,釀造品,eHowNet-food
75,野食,eHowNet-food
76,雜糧,eHowNet-food
77,食塊,eHowNet-food
78,餘糧,eHowNet-food
79,餱,eHowNet-food
80,鮓,eHowNet-food
