Unnamed: 0,sentence,index,length,time,rating,word_seg,pos,dependency_parse
0,酸辣湯是酸甜口感,1,8,1年前,3,"['酸辣湯', '是', '酸甜', '口感']","[(0, 'root root'), (1, '酸辣湯 Na'), (2, '是 SHI'), (3, '酸甜 VH'), (4, '口感 Na')]","[('2 - 是 SHI', '1 - 酸辣湯 Na', 'amod'), ('0 - root root', '2 - 是 SHI', 'root'), ('4 - 口感 Na', '3 - 酸甜 VH', 'amod'), ('2 - 是 SHI', '4 - 口感 Na', 'attr')]"
1,牛肉湯麵的湯有點太鹹了,1,11,1年前,3,"['牛肉湯麵', '的', '湯', '有點', '太', '鹹', '了']","[(0, 'root root'), (1, '牛肉湯麵 Na'), (2, '的 DE'), (3, '湯 Na'), (4, '有點 Dfa'), (5, '太 Dfa'), (6, '鹹 VH'), (7, '了 T')]","[('6 - 鹹 VH', '1 - 牛肉湯麵 Na', 'nn'), ('4 - 有點 Dfa', '2 - 的 DE', 'assm'), ('6 - 鹹 VH', '3 - 湯 Na', 'nsubj'), ('6 - 鹹 VH', '4 - 有點 Dfa', 'advmod'), ('6 - 鹹 VH', '5 - 太 Dfa', 'advmod'), ('0 - root root', '6 - 鹹 VH', 'root'), ('6 - 鹹 VH', '7 - 了 T', 'asp')]"
2,整體吃起來感覺普普,1,9,1年前,3,"['整體', '吃起來', '感覺', '普普']","[(0, 'root root'), (1, '整體 Na'), (2, '吃起來 D'), (3, '感覺 VK'), (4, '普普 Nb')]","[('2 - 吃起來 D', '1 - 整體 Na', 'nsubj'), ('4 - 普普 Nb', '2 - 吃起來 D', 'dep'), ('4 - 普普 Nb', '3 - 感覺 VK', 'nsubj'), ('0 - root root', '4 - 普普 Nb', 'root')]"
3,喜歡吃帶筋的牛肉的話會是一個好選擇,2,17,2年前,4,"['喜歡', '吃', '帶', '筋', '的', '牛肉', '的話', '會', '是', '一', '個', '好', '選擇']","[(0, 'root root'), (1, '喜歡 VK'), (2, '吃 VC'), (3, '帶 VC'), (4, '筋 Na'), (5, '的 DE'), (6, '牛肉 Na'), (7, '的話 Cba'), (8, '會 D'), (9, '是 SHI'), (10, '一 Neu'), (11, '個 Nf'), (12, '好 VH'), (13, '選擇 VC')]","[('9 - 是 SHI', '1 - 喜歡 VK', 'dep'), ('1 - 喜歡 VK', '2 - 吃 VC', 'ccomp'), ('6 - 牛肉 Na', '3 - 帶 VC', 'rcmod'), ('3 - 帶 VC', '4 - 筋 Na', 'dobj'), ('3 - 帶 VC', '5 - 的 DE', 'cpm'), ('2 - 吃 VC', '6 - 牛肉 Na', 'dobj'), ('1 - 喜歡 VK', '7 - 的話 Cba', 'dep'), ('9 - 是 SHI', '8 - 會 D', 'mmod'), ('0 - root root', '9 - 是 SHI', 'root'), ('11 - 個 Nf', '10 - 一 Neu', 'nummod'), ('13 - 選擇 VC', '11 - 個 Nf', 'clf'), ('13 - 選擇 VC', '12 - 好 VH', 'amod'), ('9 - 是 SHI', '13 - 選擇 VC', 'attr')]"
4,牛肉湯滿清的但口味比較偏鹹一些,2,15,2年前,4,"['牛肉湯', '滿清', '的', '但', '口味', '比較', '偏', '鹹', '一些']","[(0, 'root root'), (1, '牛肉湯 Na'), (2, '滿清 Nb'), (3, '的 DE'), (4, '但 Cbb'), (5, '口味 Na'), (6, '比較 Dfa'), (7, '偏 D'), (8, '鹹 VH'), (9, '一些 Neqa')]","[('2 - 滿清 Nb', '1 - 牛肉湯 Na', 'nn'), ('0 - root root', '2 - 滿清 Nb', 'root'), ('2 - 滿清 Nb', '3 - 的 DE', 'root'), ('8 - 鹹 VH', '4 - 但 Cbb', 'advmod'), ('8 - 鹹 VH', '5 - 口味 Na', 'nsubj'), ('8 - 鹹 VH', '6 - 比較 Dfa', 'advmod'), ('8 - 鹹 VH', '7 - 偏 D', 'advmod'), ('2 - 滿清 Nb', '8 - 鹹 VH', 'conj'), ('8 - 鹹 VH', '9 - 一些 Neqa', 'advmod')]"
5,130元的牛肉麵,3,8,1年前,2,"['130', '元', '的', '牛肉麵']","[(0, 'root root'), (1, '130 Neu'), (2, '元 Nf'), (3, '的 DE'), (4, '牛肉麵 Na')]","[('2 - 元 Nf', '1 - 130 Neu', 'nummod'), ('4 - 牛肉麵 Na', '2 - 元 Nf', 'assmod'), ('2 - 元 Nf', '3 - 的 DE', 'assm'), ('0 - root root', '4 - 牛肉麵 Na', 'root')]"
6,只能說CP值太差,3,8,1年前,2,"['只', '能', '說', 'CP值', '太', '差']","[(0, 'root root'), (1, '只 Da'), (2, '能 D'), (3, '說 VE'), (4, 'CP值 Na'), (5, '太 Dfa'), (6, '差 VH')]","[('3 - 說 VE', '1 - 只 Da', 'advmod'), ('3 - 說 VE', '2 - 能 D', 'mmod'), ('0 - root root', '3 - 說 VE', 'root'), ('6 - 差 VH', '4 - CP值 Na', 'punct'), ('6 - 差 VH', '5 - 太 Dfa', 'advmod'), ('3 - 說 VE', '6 - 差 VH', 'dep')]"
7,原本期待中位於中研院週圍老住宅區巷弄的麵館應該具有傳統外省老麵館的懷念美味,4,37,1年前,3,"['原本', '期待', '中', '位於', '中研院', '週圍', '老', '住宅區', '巷弄', '的', '麵館', '應該', '具有', '傳統', '外省', '老麵館', '的', '懷念', '美味']","[(0, 'root root'), (1, '原本 D'), (2, '期待 VK'), (3, '中 Ng'), (4, '位於 VCL'), (5, '中研院 Nc'), (6, '週圍 Nc'), (7, '老 VH'), (8, '住宅區 Nc'), (9, '巷弄 Na'), (10, '的 DE'), (11, '麵館 Nc'), (12, '應該 D'), (13, '具有 VJ'), (14, '傳統 VH'), (15, '外省 Nc'), (16, '老麵館 Nc'), (17, '的 DE'), (18, '懷念 VJ'), (19, '美味 VH')]","[('2 - 期待 VK', '1 - 原本 D', 'advmod'), ('3 - 中 Ng', '2 - 期待 VK', 'lobj'), ('13 - 具有 VJ', '3 - 中 Ng', 'loc'), ('11 - 麵館 Nc', '4 - 位於 VCL', 'rcmod'), ('6 - 週圍 Nc', '5 - 中研院 Nc', 'nn'), ('9 - 巷弄 Na', '6 - 週圍 Nc', 'nn'), ('8 - 住宅區 Nc', '7 - 老 VH', 'amod'), ('9 - 巷弄 Na', '8 - 住宅區 Nc', 'nn'), ('4 - 位於 VCL', '9 - 巷弄 Na', 'pobj'), ('4 - 位於 VCL', '10 - 的 DE', 'cpm'), ('13 - 具有 VJ', '11 - 麵館 Nc', 'nsubj'), ('13 - 具有 VJ', '12 - 應該 D', 'mmod'), ('0 - root root', '13 - 具有 VJ', 'root'), ('8 - 住宅區 Nc', '14 - 傳統 VH', 'amod'), ('16 - 老麵館 Nc', '15 - 外省 Nc', 'nn'), ('8 - 住宅區 Nc', '16 - 老麵館 Nc', 'amod'), ('19 - 美味 VH', '17 - 的 DE', 'assm'), ('19 - 美味 VH', '18 - 懷念 VJ', 'nn'), ('13 - 具有 VJ', '19 - 美味 VH', 'dobj')]"
8,經營母子倆服務熱誠與親切甚佳我才總體給3星,4,21,1年前,3,"['經營', '母子倆', '服務', '熱誠', '與', '親切', '甚', '佳', '我', '才', '總體', '給', '3', '星']","[(0, 'root root'), (1, '經營 VC'), (2, '母子倆 Na'), (3, '服務 VC'), (4, '熱誠 Na'), (5, '與 Caa'), (6, '親切 VH'), (7, '甚 Dfa'), (8, '佳 VH'), (9, '我 Nh'), (10, '才 Da'), (11, '總體 Na'), (12, '給 VD'), (13, '3 Neu'), (14, '星 Na')]","[('8 - 佳 VH', '1 - 經營 VC', 'dep'), ('1 - 經營 VC', '2 - 母子倆 Na', 'nn'), ('1 - 經營 VC', '3 - 服務 VC', 'nsubj'), ('6 - 親切 VH', '4 - 熱誠 Na', 'conj'), ('6 - 親切 VH', '5 - 與 Caa', 'cc'), ('8 - 佳 VH', '6 - 親切 VH', 'dep'), ('8 - 佳 VH', '7 - 甚 Dfa', 'advmod'), ('0 - root root', '8 - 佳 VH', 'root'), ('12 - 給 VD', '9 - 我 Nh', 'nsubj'), ('12 - 給 VD', '10 - 才 Da', 'advmod'), ('12 - 給 VD', '11 - 總體 Na', 'advmod'), ('8 - 佳 VH', '12 - 給 VD', 'root'), ('12 - 給 VD', '13 - 3 Neu', 'nummod'), ('12 - 給 VD', '14 - 星 Na', 'range')]"
9,而單就食物性價而言1-2星,4,13,1年前,3,"['而', '單', '就', '食物性價', '而言', '1-2', '星']","[(0, 'root root'), (1, '而 Cbb'), (2, '單 Da'), (3, '就 P'), (4, '食物性價 Na'), (5, '而言 Ng'), (6, '1-2 Neu'), (7, '星 Na')]","[('7 - 星 Na', '1 - 而 Cbb', 'advmod'), ('3 - 就 P', '2 - 單 Da', 'advmod'), ('1 - 而 Cbb', '3 - 就 P', 'prep'), ('3 - 就 P', '4 - 食物性價 Na', 'nn'), ('7 - 星 Na', '5 - 而言 Ng', 'prtmod'), ('7 - 星 Na', '6 - 1-2 Neu', 'dep'), ('0 - root root', '7 - 星 Na', 'root')]"
10,牛肉麵130元麵條是麵廠中筋麵粉機器製麵,4,20,1年前,3,"['牛肉麵', '130', '元', '麵條', '是', '麵廠', '中筋', '麵粉', '機器', '製麵']","[(0, 'root root'), (1, '牛肉麵 Na'), (2, '130 Neu'), (3, '元 Nf'), (4, '麵條 Na'), (5, '是 SHI'), (6, '麵廠 Nc'), (7, '中筋 Na'), (8, '麵粉 Na'), (9, '機器 Na'), (10, '製麵 VA')]","[('3 - 元 Nf', '1 - 牛肉麵 Na', 'nn'), ('3 - 元 Nf', '2 - 130 Neu', 'nummod'), ('4 - 麵條 Na', '3 - 元 Nf', 'clf'), ('5 - 是 SHI', '4 - 麵條 Na', 'top'), ('0 - root root', '5 - 是 SHI', 'root'), ('9 - 機器 Na', '6 - 麵廠 Nc', 'nn'), ('8 - 麵粉 Na', '7 - 中筋 Na', 'nn'), ('9 - 機器 Na', '8 - 麵粉 Na', 'nn'), ('10 - 製麵 VA', '9 - 機器 Na', 'nsubj'), ('5 - 是 SHI', '10 - 製麵 VA', 'ccomp')]"
