,Word,type,source
0,時蔬,WS,楊桃美食網WS
1,花枝,WS,楊桃美食網WS
2,日式,WS,楊桃美食網WS
3,涼麵醬,WS,楊桃美食網WS
4,乳酪,WS,楊桃美食網WS
5,可樂餅,WS,楊桃美食網WS
6,麥丁佐,WS,楊桃美食網WS
7,明蝦,WS,楊桃美食網WS
8,雞肉,WS,楊桃美食網WS
9,福袋,WS,楊桃美食網WS
10,味噌,WS,楊桃美食網WS
11,饅頭,WS,楊桃美食網WS
12,地瓜,WS,楊桃美食網WS
13,天婦羅,WS,楊桃美食網WS
14,蘿蔔,WS,楊桃美食網WS
15,泥醬,WS,楊桃美食網WS
16,芝麻,WS,楊桃美食網WS
17,風味,WS,楊桃美食網WS
18,銅鑼燒,WS,楊桃美食網WS
19,煮煮汁,WS,楊桃美食網WS
20,芝麻米,WS,楊桃美食網WS
21,治部,WS,楊桃美食網WS
22,果凍,WS,楊桃美食網WS
23,三明治,WS,楊桃美食網WS
24,白玉,WS,楊桃美食網WS
25,豆腐,WS,楊桃美食網WS
26,烏龍麵,WS,楊桃美食網WS
27,冷沾麵,WS,楊桃美食網WS
28,海鮮,WS,楊桃美食網WS
29,煎餅,WS,楊桃美食網WS
30,三角,WS,楊桃美食網WS
31,鮭魚,WS,楊桃美食網WS
32,飯糰,WS,楊桃美食網WS
33,素滷,WS,楊桃美食網WS
34,香筍,WS,楊桃美食網WS
35,蒟蒻,WS,楊桃美食網WS
36,牛肉,WS,楊桃美食網WS
37,牛蒡,WS,楊桃美食網WS
38,杏片,WS,楊桃美食網WS
39,揚丸,WS,楊桃美食網WS
40,海苔,WS,楊桃美食網WS
41,燒肉,WS,楊桃美食網WS
42,捲餅,WS,楊桃美食網WS
43,雞胸飯,WS,楊桃美食網WS
44,紫菜,WS,楊桃美食網WS
45,蛋皮米,WS,楊桃美食網WS
46,海洋,WS,楊桃美食網WS
47,珍珠堡,WS,楊桃美食網WS
48,七彩,WS,楊桃美食網WS
49,判揚,WS,楊桃美食網WS
50,鰻魚,WS,楊桃美食網WS
51,厚蛋,WS,楊桃美食網WS
52,原味,WS,楊桃美食網WS
53,草莓,WS,楊桃美食網WS
54,大福,WS,楊桃美食網WS
55,春天,WS,楊桃美食網WS
56,蕈菇,WS,楊桃美食網WS
57,泡菜,WS,楊桃美食網WS
58,和風,WS,楊桃美食網WS
59,白肉,WS,楊桃美食網WS
60,蒲鉾,WS,楊桃美食網WS
61,芥末,WS,楊桃美食網WS
62,熱狗,WS,楊桃美食網WS
63,田園,WS,楊桃美食網WS
64,香腸,WS,楊桃美食網WS
65,炒麵,WS,楊桃美食網WS
66,竹輪,WS,楊桃美食網WS
67,咖哩,WS,楊桃美食網WS
68,咖哩飯,WS,楊桃美食網WS
69,炒飯,WS,楊桃美食網WS
70,壽喜,WS,楊桃美食網WS
71,蛋包飯,WS,楊桃美食網WS
72,醋汁,WS,楊桃美食網WS
73,淋鰻,WS,楊桃美食網WS
74,麥煎餅,WS,楊桃美食網WS
75,筍香,WS,楊桃美食網WS
76,炊飯,WS,楊桃美食網WS
77,章魚,WS,楊桃美食網WS
78,豬排,WS,楊桃美食網WS
79,起司,WS,楊桃美食網WS
80,蛋糕,WS,楊桃美食網WS
81,蔥香,WS,楊桃美食網WS
82,豬肉,WS,楊桃美食網WS
83,蔬菜,WS,楊桃美食網WS
84,火鍋,WS,楊桃美食網WS
85,湯底,WS,楊桃美食網WS
86,白蘿蔔,WS,楊桃美食網WS
87,蛤蜊,WS,楊桃美食網WS
88,醬汁,WS,楊桃美食網WS
89,鮪魚,WS,楊桃美食網WS
90,玉米,WS,楊桃美食網WS
91,果醬,WS,楊桃美食網WS
92,白玉蜜豆,WS,楊桃美食網WS
93,爆漿,WS,楊桃美食網WS
94,漢堡,WS,楊桃美食網WS
95,壽喜鍋,WS,楊桃美食網WS
96,麻糬卷,WS,楊桃美食網WS
97,薑汁,WS,楊桃美食網WS
98,豬堡,WS,楊桃美食網WS
99,里肌,WS,楊桃美食網WS
100,焦糖,WS,楊桃美食網WS
101,香蕉,WS,楊桃美食網WS
102,車輪餅,WS,楊桃美食網WS
103,雞茸,WS,楊桃美食網WS
104,三色,WS,楊桃美食網WS
106,髮菜,WS,楊桃美食網WS
107,照燒,WS,楊桃美食網WS
108,芝麻豆腐,WS,楊桃美食網WS
109,鮮菇,WS,楊桃美食網WS
110,冰淇淋,WS,楊桃美食網WS
111,蜜果,WS,楊桃美食網WS
112,炸肉丸,WS,楊桃美食網WS
113,橙醋,WS,楊桃美食網WS
114,滑蛋,WS,楊桃美食網WS
115,旗魚片,WS,楊桃美食網WS
116,叉燒,WS,楊桃美食網WS
117,醬油,WS,楊桃美食網WS
118,拉麵,WS,楊桃美食網WS
119,雲吞湯,WS,楊桃美食網WS
120,燉煮,WS,楊桃美食網WS
121,烤肉醬,WS,楊桃美食網WS
122,炸豬,WS,楊桃美食網WS
123,排飯,WS,楊桃美食網WS
124,大阪,WS,楊桃美食網WS
125,彩色,WS,楊桃美食網WS
126,便當,WS,楊桃美食網WS
127,拌炒,WS,楊桃美食網WS
128,燒醬,WS,楊桃美食網WS
129,散壽司,WS,楊桃美食網WS
130,紫蘇,WS,楊桃美食網WS
131,冰皮,WS,楊桃美食網WS
132,月餅,WS,楊桃美食網WS
133,芝麻鹽,WS,楊桃美食網WS
134,雞肉片,WS,楊桃美食網WS
135,蓋飯,WS,楊桃美食網WS
136,豆皮,WS,楊桃美食網WS
137,鹹酥,WS,楊桃美食網WS
138,甜不辣,WS,楊桃美食網WS
139,壽司,WS,楊桃美食網WS
140,牡蠣,WS,楊桃美食網WS
141,烏龍,WS,楊桃美食網WS
142,紅豆粒,WS,楊桃美食網WS
143,柚香,WS,楊桃美食網WS
144,奶油,WS,楊桃美食網WS
145,沾醬,WS,楊桃美食網WS
146,辣桔醬,WS,楊桃美食網WS
147,優酪,WS,楊桃美食網WS
148,養生,WS,楊桃美食網WS
149,瓜泥,WS,楊桃美食網WS
150,傳統,WS,楊桃美食網WS
151,餅皮,WS,楊桃美食網WS
152,泥涼麵,WS,楊桃美食網WS
153,溫泉蛋,WS,楊桃美食網WS
154,香烤,WS,楊桃美食網WS
155,昆布,WS,楊桃美食網WS
156,白菜,WS,楊桃美食網WS
157,柑橘,WS,楊桃美食網WS
158,甘醋汁,WS,楊桃美食網WS
159,豆腐鍋,WS,楊桃美食網WS
160,金平,WS,楊桃美食網WS
161,雞翅,WS,楊桃美食網WS
162,流水素麵,WS,楊桃美食網WS
163,柴魚,WS,楊桃美食網WS
164,高湯,WS,楊桃美食網WS
165,南瓜,WS,楊桃美食網WS
166,蒲燒,WS,楊桃美食網WS
167,鰻魚卷,WS,楊桃美食網WS
168,元氣,WS,楊桃美食網WS
169,御飯糰,WS,楊桃美食網WS
171,蛋海帶芽,WS,楊桃美食網WS
172,蘋果,WS,楊桃美食網WS
173,肉卷,WS,楊桃美食網WS
174,餃子,WS,楊桃美食網WS
175,吻仔魚,WS,楊桃美食網WS
176,基礎,WS,楊桃美食網WS
177,鬆餅,WS,楊桃美食網WS
178,鵪鶉,WS,楊桃美食網WS
179,蛋卷,WS,楊桃美食網WS
180,馬鈴薯,WS,楊桃美食網WS
181,萵苣,WS,楊桃美食網WS
182,牛蒡汁,WS,楊桃美食網WS
183,蝦仁,WS,楊桃美食網WS
185,牛蒡絲,WS,楊桃美食網WS
186,海鮮醬,WS,楊桃美食網WS
187,糙米,WS,楊桃美食網WS
